Question,Answer,Weights
What is Cloud Computing?,"Cloud computing is the on-demand delivery of IT resources over the Internet with pay-as-you-go pricing. Instead of buying, owning, and maintaining physical data centers and servers, you can access technology services, such as computing power, storage, and databases, on an as-needed basis from a cloud provider like Azure, Amazon Web Services (AWS), Google Cloud Platform (GCP).",0.118022864829 0.120136420405 0.190460178692 0.571380536075
What is Cyber Security?,"Cyber security is the practice of defending computers, servers, mobile devices, electronic systems, networks, and data from malicious attacks. It's also known as information technology security or electronic information security. The term applies in a variety of contexts, from business to mobile computing, and can be divided into a few common categories.",0.113692101245 0.11572810143 0.550414140947 0.220165656379
What is network Security?,"Network security is the practice of securing a computer network from intruders, whether targeted attackers or opportunistic malware.",0.113692101245 0.11572810143 0.550414140947 0.220165656379
What is application security?,"Application security focuses on keeping software and devices free of threats. A compromised application could provide access to the data its designed to protect. Successful security begins in the design stage, well before a program or device is deployed.",0.14579006705 0.148400878182 0.423485432861 0.282323621907
What is Information Security?,"Information security protects the integrity and privacy of data, both in storage and in transit.",0.113692101245 0.11572810143 0.550414140947 0.220165656379
What is disaster recovery and business continuity,Disaster recovery and business continuity define how an organization responds to a cyber-security incident or any other event that causes the loss of operations or data. Disaster recovery policies dictate how the organization restores its operations and information to return to the same operating capacity as before the event. Business continuity is the plan the organization falls back on while trying to operate without certain resources.,0.0282114258798 0.0290749837382 0.213444586502 0.213444586502 0.0889352443757 0.213444586502 0.213444586502
What is an API?,"APIs are mechanisms that enable two software components to communicate with each other using a set of definitions and protocols. For example, the weather bureau’s software system contains daily weather data. The weather app on your phone “talks” to this system via APIs and shows you daily weather updates on your phone.",0.181698515056 0.184952375318 0.316674554813 0.316674554813
What does API stand for?,"API stands for Application Programming Interface. In the context of APIs, the word Application refers to any software with a distinct function. Interface can be thought of as a contract of service between two applications. This contract defines how the two communicate with each other using requests and responses. Their API documentation contains information on how developers are to structure those requests and responses.",0.0784865755682 0.201057474421 0.150793105816 0.452379317448 0.117283526746
How does API work?,"API architecture is usually explained in terms of client and server. The application sending the request is called the client, and the application sending the response is called the server. So in the weather example, the bureau’s weather database is the server, and the mobile app is the client. ",0.157678244973 0.303930530165 0.234460694698 0.303930530165
What are REST APIs?,"REST stands for Representational State Transfer. REST defines a set of functions like GET, PUT, DELETE, etc. that clients can use to access server data. Clients and servers exchange data using HTTP. The main feature of REST API is statelessness. Statelessness means that servers do not save client data between requests. Client requests to the server are similar to URLs you type in your browser to visit a website. The response from the server is plain data, without the typical graphical rendering of a web page.",0.0850235212462 0.0917328603378 0.411621809208 0.411621809208
What are API Integrations?,"API integrations are software components that automatically update data between clients and servers. Some examples of API integrations are when automatic data sync to the cloud from your phone image gallery, or the time and date automatically sync on your laptop when you travel to another time zone. Enterprises can also use them to efficiently automate many system functions.",0.115432938959 0.124541932782 0.201183122186 0.558842006073
What are Authentication Tokens?,"These are used to authorize users to make the API call. Authentication tokens check that the users are who they claim to be and that they have access rights for that particular API call. For example, when you log in to your email server, your email client uses authentication tokens for secure access.",0.0850235212462 0.0917328603378 0.411621809208 0.411621809208
What are API Keys?,API keys verify the program or application making the API call. They identify the application and ensure it has the access rights required to make the particular API call. API keys are not as secure as tokens but they allow API monitoring in order to gather data on usage. You may have noticed a long string of characters and numbers in your browser URL when you visit different websites. This string is an API key the website uses to make internal API calls.,0.115432938959 0.124541932782 0.201183122186 0.558842006073
What are the different types of services offered in the cloud?,"Iaas, Paas, Saas",0.0201728292193 0.0243200682232 0.0263331842383 0.120278598278 0.22205279682 0.0341619687416 0.22205279682 0.22205279682 0.0298126440176 0.0263331842383 0.0524291325826
What is Iaas?,"In infrastructure as a service, you get the raw hardware from your cloud provider as a service i.e you get a server which you can configure with your own will. (Azure VM, Amazon EC2)",0.168989184692 0.17127703827 0.659733777038
What is Paas?,"Platform as a Service, gives you a platform to publish without giving the access to the underlying software or OS. (Mobile Apps, Web Apps in Azure)",0.168989184692 0.17127703827 0.659733777038
What is Saas?,"You get software as a service in Azure, i.e no infrastructure, no platform, simple software that you can use without purchasing it. (Salesforce, Dropbox, Cisco Webex)",0.168989184692 0.17127703827 0.659733777038
What are the different cloud deployment models?,"Public Cloud, Private Cloud, Hybrid Cloud",0.0403682651355 0.0458132869445 0.0484563611913 0.171799826042 0.0827184347608 0.305421912963 0.305421912963
What is Public Cloud?,The infrastructure is owned by your cloud provider and the server that you are using could be a multi-tenant system.,0.118022864829 0.120136420405 0.571380536075 0.190460178692
What is Private Cloud?,"The infrastructure is owned by you or your cloud provider gives you that service exclusively. For eg: Hosting your website on your servers, or hosting your website with the cloud provider on a dedicated server.",0.118022864829 0.120136420405 0.571380536075 0.190460178692
What is Hybrid Cloud?,"When you use both Public Cloud, Private Cloud together, it is called Hybrid Cloud. For Example: Using your in-house servers for confidential data, and the public cloud for hosting your company’s public facing website. This type of setup would be a hybrid cloud.",0.118022864829 0.120136420405 0.571380536075 0.190460178692
What is Python?,"Python is an interpreted, object-oriented, high-level programming language with dynamic semantics. Its high-level built in data structures, combined with dynamic typing and dynamic binding, make it very attractive for Rapid Application Development, as well as for use as a scripting or glue language to connect existing components together. Python's simple, easy to learn syntax emphasizes readability and therefore reduces the cost of program maintenance. Python supports modules and packages, which encourages program modularity and code reuse. The Python interpreter and the extensive standard library are available in source or binary form without charge for all major platforms, and can be freely distributed.",0.168989184692 0.17127703827 0.659733777038
What is Java?,"Java is a general-purpose, class-based, object-oriented programming language designed for having lesser implementation dependencies. It is a computing platform for application development. Java is fast, secure, and reliable, therefore. It is widely used for developing Java applications in laptops, data centers, game consoles, scientific supercomputers, cell phones, etc.",0.168989184692 0.17127703827 0.659733777038
What are Microservices?,"Microservices are an architectural and organizational approach to software development where software is composed of small independent services that communicate over well-defined APIs. These services are owned by small, self-contained teams. Microservices architectures make applications easier to scale and faster to develop, enabling innovation and accelerating time-to-market for new features.",0.16768234257 0.177685792036 0.654631865394
What is Docker?,"Docker is a software platform that allows you to build, test, and deploy applications quickly. Docker packages software into standardized units called containers that have everything the software needs to run including libraries, system tools, code, and runtime. Using Docker, you can quickly deploy and scale applications into any environment and know your code will run.",0.252172563625 0.255586592179 0.492240844196
How Docker works?,"Docker works by providing a standard way to run your code. Docker is an operating system for containers. Similar to how a virtual machine virtualizes (removes the need to directly manage) server hardware, containers virtualize the operating system of a server. Docker is installed on each server and provides simple commands you can use to build, start, or stop containers.",0.204651162791 0.353488372093 0.441860465116
What is Docker Container?,"A container is a standard unit of software that packages up code and all its dependencies so the application runs quickly and reliably from one computing environment to another. A Docker container image is a lightweight, standalone, executable package of software that includes everything needed to run an application: code, runtime, system tools, system libraries and settings.",0.109667916443 0.111631851455 0.247768255669 0.530931976433
What is Azure Kubernetes Service (AKS)?,"Microsoft Azure is a world-renown cloud platform for SMBs to large scale business, while Kubernetes is a modern-day approach that is rapidly becoming the regular methodology to manage cloud-native applications in a production environment. Azure Kubernetes Service (AKS) has brought both solutions together that allow customers to create fully-managed Kubernetes clusters quickly and easily. Azure Kubernetes Service offers provisioning, scaling, and upgrades of resources as per requirement or demand without any downtime in the Kubernetes cluster and the best thing about AKS is that you don’t require deep knowledge and expertise in container orchestration to manage AKS.",0.0386778857329 0.0397006182883 0.147459439357 0.258054018874 0.258054018874 0.258054018874
